x, y
380.3872305214757, 0
543.7947586653908, 0
566.2536266856262, 0.009884653485662106
582.5169245329222, 0.05766062530491643
594.5208195859914, 0.1663921278726728
610.7841174332873, 0.4464580222108388
629.3707688667695, 0.8451399783347822
639.438526083794, 0.9654036028212671
648.7318518005352, 0.996705110267688
659.1868247677014, 0.9555189493356048
671.965151321054, 0.8303130295288359
694.8112350914311, 0.5551894619335008
714.5595042326704, 0.3410212993964797
748.6350220131652, 0.1285008095390807
779.6127547071902, 0.04942339311849978
