Wavelength,Transmittance
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,0.0
283.0,0.0
284.0,0.0
285.0,0.0
286.0,0.0
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.0
311.0,0.0
312.0,0.0
313.0,0.0
314.0,0.0
315.0,0.0
316.0,0.0
317.0,0.0
318.0,0.0
319.0,0.0
320.0,0.0
321.0,0.0
322.0,0.0
323.0,0.0
324.0,0.0
325.0,0.0
326.0,0.0
327.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.0
332.0,0.0
333.0,0.0
334.0,0.0
335.0,0.0
336.0,0.0
337.0,0.0
338.0,0.0
339.0,0.0
340.0,0.0
341.0,0.0
342.0,0.0
343.0,0.0
344.0,0.0
345.0,0.0
346.0,0.0
347.0,0.0
348.0,0.0
349.0,0.0
350.0,0.0
351.0,0.0
352.0,0.0
353.0,0.0
354.0,0.0
355.0,0.0
356.0,0.0
357.0,0.0
358.0,0.0
359.0,0.0
360.0,0.0
361.0,0.0
362.0,0.0
363.0,0.0
364.0,0.0
365.0,0.0
366.0,0.0
367.0,0.0
368.0,0.0
369.0,0.0
370.0,0.0
371.0,0.0
372.0,0.0
373.0,0.0
374.0,0.0
375.0,0.0
376.0,0.0
377.0,0.0
378.0,0.0
379.0,0.0
380.0,0.0
381.0,0.0
382.0,0.0
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.0
391.0,0.0
392.0,0.0
393.0,0.0
394.0,0.0
395.0,0.0
396.0,0.0
397.0,0.0
398.0,0.0
399.0,0.0
400.0,0.0
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,5.9289443483642865e-06
443.0,1.5245879734148179e-05
444.0,2.456281511993207e-05
445.0,3.387975050571596e-05
446.0,4.319668589149985e-05
447.0,5.2513621277283746e-05
448.0,6.183055666306763e-05
449.0,7.114749204885154e-05
450.0,8.046442743463544e-05
451.0,8.978136282041932e-05
452.0,9.909829820620321e-05
453.0,0.00010841523359198711
454.0,0.000117732168977771
455.0,0.0001270491043635549
456.0,0.0001363660397493388
457.0,0.0001509972897147523
458.0,0.00021041846714063735
459.0,0.00026983964456652235
460.0,0.00032926082199240746
461.0,0.00038868199941829247
462.0,0.0004481031768441775
463.0,0.0005075243542700625
464.0,0.0005669455316959476
465.0,0.0006263667091218326
466.0,0.0006857878865477177
467.0,0.0007452090639736027
468.0,0.0008046302413994878
469.0,0.001028961466326178
470.0,0.0013105049442597367
471.0,0.0015920484221932949
472.0,0.001873591900126853
473.0,0.0021551353780604114
474.0,0.00243667885599397
475.0,0.0027182223339275286
476.0,0.002999765811861087
477.0,0.003281309289794645
478.0,0.0035628527677282035
479.0,0.003844396245661762
480.0,0.004254022817346464
481.0,0.0048737011555245735
482.0,0.005493379493702683
483.0,0.006113057831880792
484.0,0.0067327361700589014
485.0,0.007352414508237012
486.0,0.007972092846415122
487.0,0.008591771184593231
488.0,0.00892116832662523
489.0,0.009179366767309913
490.0,0.009437565207994597
491.0,0.00969576364867928
492.0,0.009826072113181209
493.0,0.0095877333425746
494.0,0.009349394571967989
495.0,0.00911105580136138
496.0,0.00887271703075477
497.0,0.00855240875493286
498.0,0.008068165466057929
499.0,0.0075839221771829965
500.0,0.007099678888308064
501.0,0.006615435599433133
502.0,0.0061311923105582
503.0,0.005646949021683267
504.0,0.005162705732808335
505.0,0.0046784624439334035
506.0,0.00443486902282742
507.0,0.004191278427058304
508.0,0.003947687831289189
509.0,0.0037040972355200726
510.0,0.0034605066397509565
511.0,0.003216916043981841
512.0,0.0029733254482127245
513.0,0.0027297348524436093
514.0,0.0025108159280037255
515.0,0.002352925204307542
516.0,0.0021950344806113582
517.0,0.002037143756915174
518.0,0.0018792530332189905
519.0,0.0017213623095228064
520.0,0.0015634715858266228
521.0,0.001405580862130439
522.0,0.001247690138434255
523.0,0.0010897994147380714
524.0,0.001019796161400431
525.0,0.0009693226701840432
526.0,0.0009188491789676555
527.0,0.0008683756877512676
528.0,0.0008179021965348799
529.0,0.0007674287053184921
530.0,0.0007169552141021043
531.0,0.0006664817228857165
532.0,0.0006160082316693286
533.0,0.0005655347404529408
534.0,0.0005150612492365531
535.0,0.00046458775802016533
536.0,0.0004141142668037774
537.0,0.00036364077558738965
538.0,0.0003423374260065558
539.0,0.0003281895163394417
540.0,0.00031404160667232754
541.0,0.0002998936970052134
542.0,0.00028574578733809924
543.0,0.0002715978776709851
544.0,0.00025744996800387094
545.0,0.00024330205833675685
546.0,0.00022915414866964273
547.0,0.00021500623900252858
548.0,0.00020085832933541443
549.0,0.0001867104196683003
550.0,0.00017256251000118616
551.0,0.00015841460033407206
552.0,0.00014426669066695792
553.0,0.0001301187809998438
554.0,0.00011597087133272964
555.0,0.0001018229616656155
556.0,8.767505199850139e-05
557.0,7.352714233138724e-05
558.0,5.937923266427312e-05
559.0,4.523132299715897e-05
560.0,3.208030656361997e-05
561.0,3.109322033124618e-05
562.0,3.0106134098872397e-05
563.0,2.9119047866498614e-05
564.0,2.8131961634124827e-05
565.0,2.7144875401751044e-05
566.0,2.6157789169377264e-05
567.0,2.5170702937003477e-05
568.0,2.4183616704629694e-05
569.0,2.3196530472255907e-05
570.0,2.2209444239882124e-05
571.0,2.1222358007508338e-05
572.0,2.0235271775134554e-05
573.0,1.9248185542760775e-05
574.0,1.8261099310386988e-05
575.0,1.7274013078013205e-05
576.0,1.6286926845639418e-05
577.0,1.5299840613265638e-05
578.0,1.4312754380891852e-05
579.0,1.3325668148518068e-05
580.0,1.2338581916144284e-05
581.0,1.13514956837705e-05
582.0,1.0364409451396714e-05
583.0,9.377323219022932e-06
584.0,8.390236986649149e-06
585.0,7.403150754275362e-06
586.0,6.41606452190158e-06
587.0,5.428978289527798e-06
588.0,4.441892057154011e-06
589.0,3.4548058247802286e-06
590.0,2.4677195924064416e-06
591.0,1.4806333600326594e-06
592.0,4.935471276588769e-07
593.0,0.0
594.0,0.0
595.0,0.0
596.0,0.0
597.0,0.0
598.0,0.0
599.0,0.0
600.0,0.0
601.0,0.0
602.0,0.0
603.0,0.0
604.0,0.0
605.0,0.0
606.0,0.0
607.0,0.0
608.0,0.0
609.0,0.0
610.0,0.0
611.0,0.0
612.0,0.0
613.0,0.0
614.0,0.0
615.0,0.0
616.0,0.0
617.0,0.0
618.0,0.0
619.0,0.0
620.0,0.0
621.0,0.0
622.0,0.0
623.0,0.0
624.0,0.0
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,0.0
631.0,0.0
632.0,0.0
