Wavelength,Transmittance
250.0,-0.001615607547874881
251.0,-0.001615607547874881
252.0,-0.001615607547874881
253.0,-0.001615607547874881
254.0,-0.001615607547874881
255.0,-0.001615607547874881
256.0,-0.001615607547874881
257.0,-0.001615607547874881
258.0,-0.001615607547874881
259.0,-0.001615607547874881
260.0,-0.001615607547874881
261.0,-0.001615607547874881
262.0,-0.001615607547874881
263.0,-0.001615607547874881
264.0,-0.001615607547874881
265.0,-0.001615607547874881
266.0,-0.001615607547874881
267.0,-0.001615607547874881
268.0,-0.001615607547874881
269.0,-0.001615607547874881
270.0,-0.001615607547874881
271.0,-0.001615607547874881
272.0,-0.001615607547874881
273.0,-0.001615607547874881
274.0,-0.001615607547874881
275.0,-0.001615607547874881
276.0,-0.001615607547874881
277.0,-0.001615607547874881
278.0,-0.001615607547874881
279.0,-0.001615607547874881
280.0,-0.001615607547874881
281.0,-0.001615607547874881
282.0,-0.001615607547874881
283.0,-0.001615607547874881
284.0,-0.001615607547874881
285.0,-0.001615607547874881
286.0,-0.001615607547874881
287.0,-0.001615607547874881
288.0,-0.001615607547874881
289.0,-0.001615607547874881
290.0,-0.001615607547874881
291.0,-0.001615607547874881
292.0,-0.001615607547874881
293.0,-0.001615607547874881
294.0,-0.001615607547874881
295.0,-0.001615607547874881
296.0,-0.001615607547874881
297.0,-0.001615607547874881
298.0,-0.001615607547874881
299.0,-0.001615607547874881
300.0,-0.001615607547874881
301.0,-0.001615607547874881
302.0,-0.001615607547874881
303.0,-0.001615607547874881
304.0,-0.001615607547874881
305.0,-0.001615607547874881
306.0,-0.001615607547874881
307.0,-0.001615607547874881
308.0,-0.001615607547874881
309.0,-0.001615607547874881
310.0,-0.001615607547874881
311.0,-0.001615607547874881
312.0,-0.001615607547874881
313.0,-0.001615607547874881
314.0,-0.001615607547874881
315.0,-0.001615607547874881
316.0,-0.001615607547874881
317.0,-0.001615607547874881
318.0,-0.001615607547874881
319.0,-0.001615607547874881
320.0,-0.001615607547874881
321.0,-0.001615607547874881
322.0,-0.001615607547874881
323.0,-0.001615607547874881
324.0,-0.001615607547874881
325.0,-0.001615607547874881
326.0,-0.001615607547874881
327.0,-0.001615607547874881
328.0,-0.001615607547874881
329.0,-0.001615607547874881
330.0,-0.001615607547874881
331.0,-0.001615607547874881
332.0,-0.001615607547874881
333.0,-0.001615607547874881
334.0,-0.001615607547874881
335.0,-0.001615607547874881
336.0,-0.001615607547874881
337.0,-0.001615607547874881
338.0,-0.001615607547874881
339.0,-0.001615607547874881
340.0,-0.001615607547874881
341.0,-0.001615607547874881
342.0,-0.001615607547874881
343.0,-0.001615607547874881
344.0,-0.001615607547874881
345.0,-0.001615607547874881
346.0,-0.001615607547874881
347.0,-0.001615607547874881
348.0,-0.001615607547874881
349.0,-0.001615607547874881
350.0,-0.001615607547874881
351.0,-0.001615607547874881
352.0,-0.001615607547874881
353.0,-0.001615607547874881
354.0,-0.001615607547874881
355.0,-0.001615607547874881
356.0,-0.001615607547874881
357.0,-0.001615607547874881
358.0,-0.001615607547874881
359.0,-0.001615607547874881
360.0,-0.001615607547874881
361.0,-0.001615607547874881
362.0,-0.001615607547874881
363.0,-0.001615607547874881
364.0,-0.001615607547874881
365.0,-0.001615607547874881
366.0,-0.001615607547874881
367.0,-0.001615607547874881
368.0,-0.001615607547874881
369.0,-0.001615607547874881
370.0,-0.001615607547874881
371.0,-0.001615607547874881
372.0,-0.001615607547874881
373.0,-0.001615607547874881
374.0,-0.001615607547874881
375.0,-0.001615607547874881
376.0,-0.001615607547874881
377.0,-0.001615607547874881
378.0,-0.001615607547874881
379.0,-0.001615607547874881
380.0,-0.001615607547874881
381.0,-0.0015832765878013866
382.0,-0.0015509456277278924
383.0,-0.001518614667654398
384.0,-0.001486283707580904
385.0,-0.0014539527475074096
386.0,-0.0014216217874339155
387.0,-0.0013892908273604211
388.0,-0.001356959867286927
389.0,-0.0013246289072134326
390.0,-0.0012922979471399385
391.0,-0.0012599669870664442
392.0,-0.0012276360269929498
393.0,-0.0011953050669194557
394.0,-0.0011629741068459615
395.0,-0.0011306431467724672
396.0,-0.0010983121866989728
397.0,-0.0010659812266254787
398.0,-0.0010336502665519846
399.0,-0.0010013193064784902
400.0,-0.000968988346404996
401.0,-0.0009366573863315018
402.0,-0.0009043264262580075
403.0,-0.0008719954661845133
404.0,-0.0008396645061110189
405.0,-0.0008073335460375247
406.0,-0.0007750025859640304
407.0,-0.0007426716258905362
408.0,-0.000710340665817042
409.0,-0.0006780097057435477
410.0,-0.0006456787456700535
411.0,-0.0006133477855965594
412.0,-0.000581016825523065
413.0,-0.0005486858654495707
414.0,-0.0005163549053760765
415.0,-0.0004840239453025822
416.0,-0.00045169298522908805
417.0,-0.0004193620251555937
418.0,-0.00038703106508209957
419.0,-0.0003547001050086052
420.0,-0.0003223691449351111
421.0,-0.00029003818486161674
422.0,-0.0002577072247881226
423.0,-0.00022537626471462826
424.0,-0.00019304530464113413
425.0,-0.00016071434456763978
426.0,-0.00012838338449414565
427.0,-9.60524244206513e-05
428.0,-6.372146434715695e-05
429.0,-3.139050427366282e-05
430.0,9.404557998315272e-07
431.0,3.327141587332566e-05
432.0,6.560237594682001e-05
433.0,9.793333602031414e-05
434.0,0.0001302642960938085
435.0,0.00016259525616730262
436.0,0.00019492621624079697
437.0,0.0002272571763142911
438.0,0.00025958813638778545
439.0,0.0002919190964612796
440.0,0.0003242500565347739
441.0,0.0003565810166082683
442.0,0.0003889119766817622
443.0,0.00042124293675525654
444.0,0.0004535738968287509
445.0,0.00048590485690224523
446.0,0.0005182358169757396
447.0,0.0005505667770492335
448.0,0.0005828977371227278
449.0,0.0006152286971962222
450.0,0.0006475596572697165
451.0,0.0006798906173432105
452.0,0.0007122215774167048
453.0,0.0007445525374901992
454.0,0.0007768834975636935
455.0,0.0008092144576371874
456.0,0.0008415454177106818
457.0,0.0008738763777841761
458.0,0.0009062073378576705
459.0,0.0009385382979311644
460.0,0.0009708692580046587
461.0,0.001003200218078153
462.0,0.0010355311781516474
463.0,0.0010678621382251418
464.0,0.0011001930982986357
465.0,0.00113252405837213
466.0,0.0011648550184456244
467.0,0.0011971859785191187
468.0,0.0012295169385926126
469.0,0.001261847898666107
470.0,0.0012941788587396013
471.0,0.0013265098188130957
472.0,0.0013588407788865896
473.0,0.001391171738960084
474.0,0.0014235026990335783
475.0,0.0014558336591070726
476.0,0.001488164619180567
477.0,0.001520495579254061
478.0,0.0015528265393275553
479.0,0.0015851574994010496
480.0,0.001617488459474544
481.0,0.0016498194195480379
482.0,0.0016821503796215322
483.0,0.0017144813396950266
484.0,0.001746812299768521
485.0,0.0017791432598420148
486.0,0.0018114742199155092
487.0,0.0018438051799890035
488.0,0.0018761361400624979
489.0,0.0019084671001359918
490.0,0.0019407980602094861
491.0,0.0019731290202829807
492.0,0.002005459980356475
493.0,0.0020377909404299694
494.0,0.002070121900503463
495.0,0.0021024528605769572
496.0,0.0021347838206504516
497.0,0.002167114780723946
498.0,0.0021994457407974403
499.0,0.0022317767008709346
500.0,0.002264107660944429
501.0,0.0022964386210179233
502.0,0.0023287695810914177
503.0,0.002361100541164912
504.0,0.0023934315012384055
505.0,0.0024257624613119
506.0,0.002458093421385394
507.0,0.0024904243814588885
508.0,0.002522755341532383
509.0,0.0025550863016058772
510.0,0.0025874172616793716
511.0,0.002619748221752866
512.0,0.0026520791818263603
513.0,0.0026844101418998538
514.0,0.002716741101973348
515.0,0.0027490720620468425
516.0,0.002781403022120337
517.0,0.002813733982193831
518.0,0.0028460649422673255
519.0,0.00287839590234082
