Wavelength,ATTO465 EM,ATTO465 EX,ATTO488 EM,ATTO488 EX,ATTO520 EM,ATTO520 EX,ATTO532 EM,ATTO532 EX,ATTO550 EM,ATTO550 EX,ATTO565 EM,ATTO565 EX,ATTO590 EM,FAM EM,FAM EX,ATTO590 EX,ATTO594 EM,ATTO594 EX,ATTO620 EM,ATTO620 EX,ATTO647N EM,ATTO647N EX,ATTO655 EM,ATTO655 EX,ATTO680 EM,ATTO680 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5_5 EM,Cy5_5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
301,,0.170527276,,0.151763638,,0.051872727,,0.074336365,,0.096772727,,0.154136363,,,0.089265697,0.09239394,,0.075678789,,0.122193939,,0.086945452,,0.111845455,,0.083272727,,,,,,,,0.147851005,,0.0951,,0.1979,,,,,,
302,,0.150273595,,0.155184417,,0.046540692,,0.076763203,,0.095116883,,0.152320344,,,0.086182699,0.086287879,,0.071695672,,0.123392641,,0.090667098,,0.112838528,,0.081497836,,,,,,,,0.143803999,,0.0879,,0.1988,,,,,,
303,,0.130881387,,0.158250218,,0.041894805,,0.07909264,,0.093123377,,0.150430732,,,0.084361002,0.080924242,,0.067632469,,0.124238528,,0.094213419,,0.113561039,,0.079766234,,,,,,,,0.138025999,,0.0816,,0.1981,,,,,,
304,,0.11235065,,0.16096104,,0.037935065,,0.081324674,,0.090792208,,0.148467528,,,0.083239898,0.07630303,,0.063489179,,0.124731602,,0.097584415,,0.114012987,,0.078077922,,,,,,,,0.131047994,,0.0737,,0.1969,,,,,,
305,,0.093255411,,0.163428571,,0.03482251,,0.083229436,,0.088012987,,0.146424238,,,0.082539201,0.072476189,,0.05887879,,0.124965368,,0.100748918,,0.114333333,,0.076432901,,,,,,,,0.123217002,,0.0689,,0.1965,,,,,,
306,,0.076199134,,0.165480518,,0.032316017,,0.085229436,,0.085073594,,0.144294368,,,0.082258999,0.069541124,,0.054437231,,0.124822511,,0.103813853,,0.114164502,,0.074857142,,,,,,,,0.114831001,,0.0649,,0.1938,,,,,,
307,,0.061709957,,0.167099565,,0.03008658,,0.087142857,,0.081839828,,0.142077921,,,0.082679398,0.067038961,,0.050376623,,0.124194805,,0.106688312,,0.113822511,,0.073264069,,,,,,,,0.106973998,,0.0598,,0.192,,,,,,
308,,0.049510822,,0.168004327,,0.028493507,,0.089164503,,0.078354981,,0.140151515,,,0.083520196,0.06495671,,0.046913419,,0.123103896,,0.109415584,,0.112995671,,0.071610389,,,,,,,,0.098835997,,0.0566,,0.1909,,,,,,
309,,0.039580086,,0.168311686,,0.027207793,,0.091203464,,0.07483983,,0.138121214,,,0.084501103,0.062969698,,0.044177489,,0.121701299,,0.111887446,,0.111683983,,0.069701298,,,,,,,,0.091287203,,0.054,,0.1898,,,,,,
310,,0.031683983,,0.167675323,,0.026298702,,0.093307359,,0.070891777,,0.136194809,,,0.086462997,0.060818182,,0.041835497,,0.120164502,,0.114415584,,0.109822511,,0.06747619,,,,,,,,0.0844208,,0.0513,,0.1884,,,,,,
