Wavelength,ATTO465 EM,ATTO465 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
339,,0.013,,,,,,,,0.053354401,,0.0626,,0.0571,,,,,,
340,,0.013770563,,,,,,,,0.054289401,,0.0633,,0.0559,,,,,,
341,,0.014718615,,,,,,,,0.054931398,,0.0647,,0.0553,,,,,,
342,,0.015402598,,,,,,,,0.0548058,,0.0665,,0.0558,,,,,,
343,,0.016000001,,,,,,,,0.0538847,,0.0693,,0.0555,,,,,,
344,,0.016597403,,,,,,,,0.052265801,,0.0714,,0.056,,,,,,
345,,0.017281386,,,,,,,,0.0499072,,0.0737,,0.0566,,,,,,
346,,0.018229437,,,,,,,,0.047060098,,0.0767,,0.0577,,,,,,
347,,0.018909091,,,,,,,,0.043668799,,0.0797,,0.0585,,,,,,
348,,0.01964935,,,,,,,,0.0399983,,0.0816,,0.06,,,,,,
349,,0.020645021,,,,,,,,0.036397599,,0.0828,,0.0614,,,,,,
350,,0.021761905,,,,,,,,0.0326434,,0.0837,,0.063,,,,,,
351,,0.023246754,,,,,,,,0.0290986,,0.0842,,0.0638,,,,,,
352,,0.024878788,,,,,,,,0.026042201,,0.083,,0.0648,,,,,,
353,,0.026770563,,,,,,,,0.022985799,,0.0819,,0.0665,,,,,,
354,,0.028748918,,,,,,,,0.0205993,,0.0797,,0.0674,,,,,,
355,,0.03026407,,,,,,,,0.018296501,,0.0758,,0.0684,,,,,,
356,,0.031627706,,,,,,,,0.016175199,,0.0726,,0.07,,,,,,
357,,0.033060606,,,,,,,,0.0144865,,0.0686,,0.0713,,,,,,
358,,0.034359308,,,,,,,,0.0130337,,0.0626,,0.0733,,,,,,
359,,0.035939394,,,,,,,,0.0121837,,0.0589,,0.0755,,,,,,
360,,0.037645021,,,,,,,,0.011151,,0.0547,,0.0776,,,,,,
