Wavelength,ATTO425 EM,ATTO425 EX,ATTO465 EM,ATTO465 EX,FAM EM,FAM EX,ATTO488 EM,ATTO488 EX,JOE EM,JOE EX,HEX EM,HEX EX,Cy3 EM,Cy3 EX,ROX EM,ROX EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX
304,,0.048,,0.028748918,,0.083239898,,0.042186146,,0.0737,,0.131047994,,,,0.1969,,,,0.173416004,,0.14,,0.120313004,,,,
305,,0.050060607,,0.03026407,,0.082539201,,0.040341991,,0.0689,,0.123217002,,,,0.1965,,,,0.164667994,,0.14,,0.118577003,,,,
306,,0.052077923,,0.031627706,,0.082258999,,0.038445887,,0.0649,,0.114831001,,,,0.1938,,,,0.155886993,,0.14,,0.117192999,,,,
307,,0.054203463,,0.033060606,,0.082679398,,0.03674026,,0.0598,,0.106973998,,,,0.192,,,,0.147018999,,0.14,,0.116100997,,,,
308,,0.05639394,,0.034359308,,0.083520196,,0.03504762,,0.0566,,0.098835997,,,,0.1909,,,,0.138159007,,0.14,,0.115318,,,,
309,,0.058515151,,0.035939394,,0.084501103,,0.03348052,,0.054,,0.091287203,,,,0.1898,,,,0.129494995,,0.14,,0.114924997,,,,
310,,0.060675324,,0.037645021,,0.086462997,,0.031926407,,0.0513,,0.0844208,,,,0.1884,,,,0.121100001,,0.13,,0.114770003,,,,
311,,0.062939394,,0.039653679,,0.089125603,,0.030939394,,0.0499,,0.078363799,,,,0.188,,,,0.113050997,,0.13,,0.114771999,,,,
312,,0.065419915,,0.041675324,,0.091647997,,0.029987012,,0.0482,,0.072781302,,,,0.1865,,,,0.105502002,,0.13,,0.114956997,,,,
313,,0.068138529,,0.043709957,,0.094730899,,0.029203463,,0.0466,,0.0676594,,,,0.1852,,,,0.098557197,,0.13,,0.115301996,,,,
314,,0.070649352,,0.046138528,,0.099215202,,0.02830303,,0.0459,,0.063067801,,,,0.1841,,,,0.092277497,,0.12,,0.115618996,,,,
315,,0.073506494,,0.048541126,,0.102999002,,0.027575758,,0.0452,,0.059202,,,,0.1805,,,,0.086625896,,0.12,,0.115709998,,,,
316,,0.076510823,,0.05074026,,0.106642,,0.026844157,,0.0447,,0.055866499,,,,0.1767,,,,0.081654496,,0.11,,0.115566999,,,,
317,,0.079510823,,0.053134199,,0.111686997,,0.02626407,,0.0443,,0.052544899,,,,0.1726,,,,0.077324197,,0.11,,0.114992,,,,
318,,0.082597403,,0.055653679,,0.115050003,,0.025614719,,0.0438,,0.050311901,,,,0.1662,,,,0.073646799,,0.1,,0.113884002,,,,
319,,0.085679655,,0.058277057,,0.117853001,,0.025294373,,0.0434,,0.048386,,,,0.1589,,,,0.070510499,,0.090000004,,0.112179004,,,,
320,,0.089000001,,0.060848486,,0.121357001,,0.024705628,,0.0436,,0.046990398,,,,0.1519,,,,0.067886896,,0.079999998,,0.109842002,,,,
321,,0.092138528,,0.063696971,,0.122897997,,0.024294372,,0.0438,,0.045999501,,,,0.144,,,,0.065746501,,0.079999998,,0.106845997,,,,
322,,0.095251083,,0.067108227,,0.123457998,,0.023705628,,0.0443,,0.045566801,,,,0.135,,,,0.064083397,,0.07,,0.103132002,,,,
323,,0.098645021,,0.070419915,,0.122897997,,0.023203463,,0.0448,,0.045287699,,,,0.1272,,,,0.062843502,,0.059999999,,0.098831303,,,,
324,,0.102069263,,0.073878789,,0.121496998,,0.022766234,,0.0454,,0.044855099,,,,0.1194,,,,0.062022001,,0.059999999,,0.094108403,,,,
325,,0.105805195,,0.077506494,,0.119534999,,0.022372294,,0.0466,,0.044785298,,,,0.1108,,,,0.061571799,,0.050000001,,0.089025803,,,,
326,,0.110004329,,0.081190478,,0.116311997,,0.022,,0.0478,,0.044896901,,,,0.1041,,,,0.061466899,,0.039999999,,0.083650999,,,,
327,,0.114688312,,0.085108226,,0.113649003,,0.021627706,,0.0485,,0.0447434,,,,0.0967,,,,0.061649501,,0.039999999,,0.078219101,,,,
328,,0.119943723,,0.089017317,,0.110146001,,0.021142857,,0.0501,,0.0443247,,,,0.0905,,,,0.0621894,,0.039999999,,0.072820298,,,,
329,,0.125727274,,0.093251083,,0.104539998,,0.020857143,,0.0519,,0.044645701,,,,0.0848,,,,0.063032098,,0.029999999,,0.067539103,,,,
330,,0.131865799,,0.097675325,,0.100195996,,0.020372294,,0.0529,,0.0447434,,,,0.0802,,,,0.064048097,,0.029999999,,0.0624725,,,,
331,,0.13825108,,0.102203463,,0.096132301,,0.02,,0.0543,,0.0450923,,,,0.0767,,,,0.065283298,,0.029999999,,0.057724498,,,,
332,,0.144554113,,0.106705627,,0.089546002,,0.019627705,,0.0556,,0.045580801,,,,0.0736,,,,0.0667224,,0.029999999,,0.053347401,,,,
333,,0.151038962,,0.111112554,,0.084781401,,0.019233765,,0.0566,,0.046069302,,,,0.0692,,,,0.068253398,,0.029999999,,0.049317501,,,,
334,,0.157943724,,0.115645021,,0.0801569,,0.018796536,,0.0584,,0.0471997,,,,0.067,,,,0.069786802,,0.029999999,,0.045618601,,,,
335,,0.165285714,,0.120389611,,0.0732904,,0.018203462,,0.0589,,0.047911499,,,,0.065,,,,0.071359098,,0.029999999,,0.042327199,,,,
336,,0.173194807,,0.125298703,,0.068806097,,0.017766233,,0.0598,,0.049265198,,,,0.0623,,,,0.072977401,,0.029999999,,0.039324701,,,,
337,,0.181822513,,0.13070563,,0.063901298,,0.017372295,,0.0612,,0.050716698,,,,0.0601,,,,0.074542597,,0.029999999,,0.036647599,,,,
338,,0.191056277,,0.13619048,,0.057314999,,0.016909092,,0.0622,,0.052265801,,,,0.0589,,,,0.076154999,,0.029999999,,0.0342342,,,,
339,,0.200852815,,0.141909092,,0.053251099,,0.016597404,,0.0626,,0.053354401,,,,0.0571,,,,0.077860497,,0.029999999,,0.032111902,,,,
340,,0.211147189,,0.147597403,,0.049327299,,0.016281386,,0.0633,,0.054289401,,,,0.0559,,,,0.079600103,,0.029999999,,0.030235101,,,,
341,,0.221943726,,0.153190476,,0.043722,,0.016229438,,0.0647,,0.054931398,,,,0.0553,,,,0.081395201,,0.029999999,,0.028587701,,,,
342,,0.233086581,,0.159017315,,0.0403587,,0.016000001,,0.0665,,0.0548058,,,,0.0558,,,,0.083388202,,0.029999999,,0.0271526,,,,
343,,0.24468398,,0.164896104,,0.037275799,,0.015770564,,0.0693,,0.0538847,,,,0.0555,,,,0.085602902,,0.029999999,,0.025998401,,,,
344,,0.256913416,,0.171177489,,0.033351999,,0.015718615,,0.0714,,0.052265801,,,,0.056,,,,0.088067397,,0.029999999,,0.0251354,,,,
345,,0.269506487,,0.178125543,,0.030829599,,0.015402598,,0.0737,,0.0499072,,,,0.0566,,,,0.090788901,,0.039999999,,0.0243853,,,,
346,,0.282792199,,0.185389614,,0.0284473,,0.015,,0.0767,,0.047060098,,,,0.0577,,,,0.0936777,,0.039999999,,0.0239195,,,,
347,,0.296792197,,0.192818183,,0.0255045,,0.014597403,,0.0797,,0.043668799,,,,0.0585,,,,0.096531197,,0.039999999,,0.0236181,,,,
348,,0.311506483,,0.20027706,,0.0235426,,0.014190476,,0.0816,,0.0399983,,,,0.06,,,,0.099319801,,0.039999999,,0.023571299,,,,
349,,0.326822503,,0.207787881,,0.022001101,,0.014108225,,0.0828,,0.036397599,,,,0.0614,,,,0.102020003,,0.039999999,,0.0236958,,,,
350,,0.342653671,,0.215528139,,0.020319499,,0.014108225,,0.0837,,0.0326434,,,,0.063,,,,0.104263,,0.050000001,,0.0239412,,,,
351,,0.3592251,,0.223497834,,0.0193386,,0.014281385,,0.0842,,0.0290986,,,,0.0638,,,,0.105857998,,0.050000001,,0.0243511,,,,
352,,0.376316012,,0.2318961,,0.0182175,,0.014627706,,0.083,,0.026042201,,,,0.0648,,,,0.106834002,,0.050000001,,0.024787201,,,,
353,,0.39377489,,0.240787876,,0.0173767,,0.014861472,,0.0819,,0.022985799,,,,0.0665,,,,0.107167996,,0.050000001,,0.0252918,,,,
354,,0.411714283,,0.249909091,,0.0169563,,0.015030303,,0.0797,,0.0205993,,,,0.0674,,,,0.106835,,0.050000001,,0.025926501,,,,
355,,0.430086579,,0.258909095,,0.0162556,,0.015,,0.0758,,0.018296501,,,,0.0684,,,,0.105894998,,0.050000001,,0.026479101,,,,
356,,0.448913425,,0.267787885,,0.0155549,,0.014969697,,0.0726,,0.016175199,,,,0.07,,,,0.104252003,,0.059999999,,0.027071601,,,,
357,,0.468376623,,0.276896113,,0.0154148,,0.015138528,,0.0686,,0.0144865,,,,0.0713,,,,0.101928003,,0.059999999,,0.027736001,,,,
358,,0.488255405,,0.286406934,,0.0152747,,0.015281386,,0.0626,,0.0130337,,,,0.0733,,,,0.0989144,,0.059999999,,0.028456399,,,,
359,,0.50872727,,0.296316024,,0.0151345,,0.015506494,,0.0589,,0.0121837,,,,0.0755,,,,0.095594198,,0.059999999,,0.029493,,,,
360,,0.529554111,,0.306683984,,0.0152747,,0.015969698,,0.0547,,0.011151,,,,0.0776,,,,0.092051201,,0.059999999,,0.030848101,,,,
361,,0.550562776,,0.317593071,,0.0151345,,0.016450217,,0.0487,,0.0102857,,,,0.0802,,,,0.088233598,,0.059999999,,0.032430399,,,,
362,,0.571735934,,0.329194801,,0.0151345,,0.016969697,,0.0443,,0.00992282,,,,0.0835,,,,0.084148496,,0.050000001,,0.034064099,,,,
363,,0.592878792,,0.341242421,,0.0155549,,0.017506493,,0.0403,,0.00953205,,,,0.0861,,,,0.0797804,,0.050000001,,0.035571098,,,,
364,,0.614281396,,0.354043286,,0.0159753,,0.018372294,,0.0353,,0.00902963,,,,0.0891,,,,0.0753747,,0.050000001,,0.037002701,,,,
365,,0.635766238,,0.367748918,,0.0162556,,0.019077921,,0.0322,,0.00887611,,,,0.0928,,,,0.071135201,,0.050000001,,0.038642,,,,
366,,0.657203467,,0.382445885,,0.016535901,,0.019800865,,0.0292,,0.00870864,,,,0.095,,,,0.067114897,,0.050000001,,0.0403203,,,,
367,,0.678796539,,0.397870131,,0.016395699,,0.020675325,,0.0255,,0.00895985,,,,0.0975,,,,0.063383304,,0.039999999,,0.042174298,,,,
368,,0.700324668,,0.413935063,,0.016675999,,0.021562771,,0.0234,,0.00895985,,,,0.0993,,,,0.059799101,,0.039999999,,0.0437828,,,,
369,,0.721748915,,0.430640691,,0.017236499,,0.022705628,,0.0218,,0.0089738,,,,0.1004,,,,0.056494199,,0.039999999,,0.044997498,,,,
370,,0.743073591,,0.448164504,,0.017516799,,0.024017316,,0.02,,0.00898776,,,,0.1004,,,,0.053566501,,0.029999999,,0.045990799,,,,
371,,0.764103897,,0.466242423,,0.017797099,,0.025562771,,0.0186,,0.00935062,,,,0.1002,,,,0.050928701,,0.029999999,,0.0468002,,,,
