Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX
423,,0.042741001,,0.0475,,0.0044,,
424,,0.044983201,,0.047,,0.0045,,
425,,0.048486501,,0.0471,,0.0051,,
426,,0.051008999,,0.047,,0.005,,
427,,0.053671502,,0.0465,,0.0053,,
428,,0.057735398,,0.0461,,0.0057,,
429,,0.0608184,,0.0464,,0.0058,,
430,,0.064041503,,0.0461,,0.0058,,
431,,0.068385698,,0.0456,,0.006,,
432,,0.071748897,,0.0454,,0.006,,
433,,0.075112097,,0.0446,,0.0073,,
434,,0.080016799,,0.0448,,0.0079,,
435,,0.083800502,,0.0447,,0.0078,,
436,,0.087584101,,0.0444,,0.0088,,
437,,0.093469702,,0.0439,,0.0087,,
438,,0.097953998,,0.0442,,0.0095,,
439,,0.102719001,,0.0434,,0.0097,,
440,,0.110146001,,0.0435,,0.0104,,
441,,0.115891002,,0.0436,,0.0108,,
442,,0.122056998,,0.043,,0.0118,,
443,,0.131446004,,0.0428,,0.0122,,
444,,0.139014006,,0.0426,,0.0129,,
445,,0.147000998,,0.0423,,0.0136,,
446,,0.159052998,,0.0423,,0.0149,,
447,,0.168582007,,0.042,,0.015,,
448,,0.178531006,,0.0417,,0.0163,,
449,,0.192684993,,0.0415,,0.0175,,
450,,0.203474998,,0.0412,,0.0183,,
451,,0.214545995,,0.0406,,0.0186,,
452,,0.230101004,,0.0404,,0.0207,,
453,,0.241732001,,0.0403,,0.0218,,
454,,0.253363013,,0.0395,,0.0243,,
455,,0.269338995,,0.0392,,0.0252,,
456,,0.281109989,,0.039,,0.0261,,
457,,0.292741001,,0.0383,,0.0274,,
458,,0.308016002,,0.038,,0.0291,,
459,,0.318805993,,0.0378,,0.0307,,
460,,0.32931599,,0.0378,,0.0325,,
461,,0.342909008,,0.0381,,0.0341,,
462,,0.352438003,,0.0378,,0.0357,,
463,,0.361546993,,0.0375,,0.0374,,
464,,0.373878986,,0.0375,,0.0413,,
465,,0.382847995,,0.0377,,0.0432,,
466,,0.392096013,,0.0378,,0.0468,,
467,,0.404848993,,0.0381,,0.0488,,
468,,0.414797992,,0.0384,,0.0506,,
469,,0.425588995,,0.0389,,0.0543,,
470,,0.441563994,,0.0392,,0.0594,,
471,,0.454596013,,0.0402,,0.0615,,
472,,0.469029993,,0.0406,,0.0669,,
473,,0.49159199,,0.0416,,0.07,,
474,,0.510230005,,0.0424,,0.0765,,
475,,0.530969977,,0.0435,,0.0813,,
476,,0.562359989,,0.0445,,0.0864,,
477,,0.588145018,,0.046,,0.0914,,
478,,0.615471005,,0.0474,,0.0983,,
479,,0.655690014,,0.0489,,0.103,,
480,0.00976434,0.686519027,,0.0503,,0.1075,,
481,0.0106855,0.718330026,,0.0522,,0.1149,,
482,0.013449,0.763453007,,0.0538,,0.1184,,
483,0.0167729,0.79638499,,0.056,,0.1253,,
484,0.021695299,0.82861501,,0.0575,,0.1322,,
485,0.0268001,0.870095015,,0.06,,0.1367,,
486,0.033910301,0.898122013,,0.062,,0.1404,,
487,0.041749801,0.923766971,,0.0645,,0.1469,,
488,0.051047798,0.954035997,,0.0665,,0.1508,,
489,0.063627496,0.971973002,,0.0693,,0.1573,,
490,0.078667402,0.985987008,,0.0716,,0.1614,,
491,0.095801003,0.997478008,,0.0744,,0.1675,,
492,0.115698002,1,,0.077,,0.1741,,
493,0.140017003,0.997196972,,0.0795,,0.1799,,
494,0.168204993,0.984025002,,0.0824,,0.1862,,
495,0.200084001,0.967769027,,0.0851,,0.1949,,
496,0.235452995,0.94590801,,0.0875,,0.1999,,
497,0.273586005,0.907091022,,0.0902,,0.2102,,
498,0.319260001,0.873178005,,0.0929,,0.219,,
499,0.361883014,0.834921002,,0.0956,,0.2264,,
500,0.405445993,0.775785029,,0.0981,,0.2379,,
501,0.455150992,0.729120016,,0.101,,0.2606,,
502,0.508347988,0.680633008,,0.1038,,0.2755,,
503,0.558570981,0.611967027,,0.1071,,0.2861,,
504,0.609350026,0.561940014,,0.11,,0.3035,,
505,0.660878003,0.513453007,,0.1136,,0.3268,,
506,0.716261983,0.449552,,0.1171,,0.3457,,
507,0.761668026,0.40554899,,0.121,,0.3586,,
508,0.804982007,0.364069998,,0.1245,,0.3765,,
509,0.853420019,0.310817987,,0.1297,,0.3957,,
510,0.883358002,0.275364012,,0.1342,,0.4222,,
511,0.915407002,0.242432997,,0.1396,,0.4403,,
512,0.932295024,0.202074006,,0.1449,,0.4579,,
513,0.962366998,0.176148996,,0.1516,,0.4747,,0.011577814
514,0.973017991,0.153026998,,0.1581,0,0.4895,,0.011577814
515,0.983668983,0.125560999,,0.1656,0.001,0.5039,,0.011567841
516,0.995182991,0.108323999,,0.1736,0.002,0.5057,,0.011567841
517,0.994991004,0.0931895,,0.1822,0.003,0.5179,,0.011557869
518,1,0.075532503,,0.1908,0.004,0.5249,,0.011547897
519,0.992879987,0.064321697,,0.2008,0.005,0.5283,,0.013482519
520,0.98121202,0.054932699,,0.2107,0.006,0.5279,,0.013482519
521,0.975377977,0.044422701,,0.2214,0.007,0.5343,,0.013472546
522,0.954209983,0.0379765,,0.2323,0.008,0.5291,,0.013472546
523,0.935249984,0.0323711,,0.2432,0.009,0.5296,,0.013462574
524,0.923888981,0.026064999,,0.2545,0.01,0.5248,,0.013452602
525,0.904946983,0.0221413,,0.2661,0.011,0.521,,0.01734179
526,0.891802013,0.018778,,0.2773,0.012,0.5182,,0.017331818
527,0.864147007,0.0151345,,0.2887,0.013,0.5145,,0.017321846
528,0.840139985,0.0127522,,0.2997,0.014,0.5135,,0.017321846
529,0.81726402,0.0107904,,0.3103,0.015,0.5131,,0.017311873
530,0.792219996,0.00854821,,0.3201,0.0174,0.5161,,0.021191088
531,0.771628022,0.00742713,,0.3301,0.0188,0.5258,,0.021191088
532,0.745931029,0.00616592,,0.3394,0.0204,0.5251,,0.021181116
533,0.725013018,0.00476457,,0.348,0.0223,0.5333,,0.025060331
534,0.69887501,0.0040639,,0.3555,0.0246,0.5467,,0.02505036
535,0.674196005,0.00336323,,0.3629,0.0272,0.5547,,0.02505036
536,0.659475982,0.00238229,,0.3687,0.0303,0.5687,,0.025040388
537,0.638154984,0.00182175,,0.3743,0.034,0.5808,,0.025040388
538,0.620307982,0.00140135,,0.3786,0.0385,0.6004,,0.028919604
539,0.599216998,0.000841,,0.3826,0.0439,0.6184,,0.028909631
540,0.583979011,0.000701,,0.3861,0.0503,0.6378,,0.028899658
541,0.567436993,0.000561,,0.3886,0.058,0.6774,,0.028899658
542,0.551891983,0.000280269,,0.391,0.0673,0.7055,,0.030834282
543,0.535196006,0.000280269,,0.393,0.0784,0.7314,,0.034713496
544,0.523757994,1E-05,,0.3948,0.0917,0.7694,,0.034713496
545,0.507772028,1E-05,,0.3968,0.1074,0.8049,,0.034703523
546,0.497889012,1E-05,,0.399,0.1258,0.8391,,0.03469355
547,0.481788009,1E-05,,0.4016,0.1472,0.8737,,0.042461958
548,0.471060008,1E-05,,0.4052,0.1721,0.8976,,0.042461958
549,0.458355993,1E-05,,0.4097,0.2007,0.9307,,0.04245198
550,0.449968994,1E-05,,0.4153,0.2336,0.9647,,0.044386607
551,0.438742995,,,0.4226,0.2713,0.9789,,0.044386607
552,0.428667009,,,0.4313,0.314,0.9968,,0.044376634
553,0.416213006,,,0.4416,0.3608,0.9989,,0.04825585
554,0.407864988,,,0.4541,0.4117,1,,0.052135065
555,0.396003991,,,0.4685,0.466,0.9913,,0.052135065
556,0.387809992,,,0.4842,0.5229,0.9852,,0.05601428
557,0.378962994,,,0.5021,0.5819,0.9538,,0.05600431
558,0.365970999,,,0.5219,0.6415,0.932,,0.059883524
559,0.35750699,,,0.5442,0.7012,0.8952,,0.061828118
560,0.347681999,,,0.5677,0.7583,0.8451,,0.061818145
561,0.338719994,,,0.5931,0.812,0.7777,,0.06958655
562,0.32881701,,,0.6202,0.8609,0.7271,,0.06958655
563,0.319835991,,,0.6492,0.9036,0.6801,,0.073455796
564,0.308878005,,,0.6785,0.9384,0.6153,,0.073455796
565,0.300817996,,0.0351,0.7093,0.9664,0.5457,,0.07733501
566,0.290262997,,0.0364,0.7405,0.9862,0.4863,,0.08315882
567,0.282182992,,0.0414,0.7714,0.9969,0.4502,,0.08315882
568,0.272511005,,0.0499,0.8026,1,0.3955,,0.083148845
569,0.264450997,,0.0593,0.8328,0.9955,0.3482,,0.08703803
570,0.253722996,,0.0692,0.863,0.9833,0.3021,,0.09285187
571,0.245394006,,0.0827,0.8902,0.964,0.2631,,0.09285187
572,0.236797005,,0.0966,0.9159,0.9395,0.2259,,0.0928419
573,0.227469996,,0.1113,0.9392,0.9107,0.1952,,0.09673109
574,0.220579997,,0.1296,0.9598,0.8777,0.1693,,0.09672111
575,0.211177006,,0.1488,0.9765,0.8421,0.1493,,0.10060033
576,0.205323994,,0.1702,0.989,0.8047,0.132,,0.10448952
577,0.197090998,,0.1971,0.997,0.7657,0.1172,,0.11030336
578,0.189605996,,0.2221,1,0.7261,0.1002,,0.11030336
579,0.182265997,,0.2531,0.9971,0.6869,0.0878,,0.11806179
580,0.175477996,,0.2868,0.9896,0.6477,0.0717,,0.11806179
581,0.169218004,,0.3234,0.9763,0.61,0.062,,0.11806179
582,0.161617994,,0.3631,0.958,0.5738,0.0498,,0.121941
583,0.155537993,,0.4011,0.9344,0.5392,0.0428,,0.12193103
584,0.148952007,,0.4422,0.9069,0.5072,0.0356,,0.12775484
585,0.144209996,,0.487,0.8741,0.4774,0.0311,,0.12775484
586,0.138850003,,0.5293,0.8392,0.4495,0.0266,,0.13551328
587,0.132980004,,0.5698,0.8005,0.4237,0.0242,,0.13551328
588,0.127875,,0.6111,0.7593,0.3995,0.0202,,0.1393925
589,0.124465004,,0.6597,0.7173,0.3767,0.0155,,0.1452163
590,0.118807003,,0.7024,0.6744,0.3558,0.0143,,0.1452163
591,0.114435002,,0.7409,0.6302,0.3367,0.0119,,0.15297472
592,0.110835001,,0.7808,0.5859,0.3193,0.0104,,0.15686391
593,0.105691999,,0.8166,0.5432,0.3035,0.0101,,0.16268773
594,0.101834998,,0.8497,0.5005,0.289,0.0084,,0.16656694
595,0.098708503,,0.8889,0.4597,0.276,0.0071,,0.17045613
596,0.094563201,,0.9177,0.4204,0.2643,0.0065,,0.18404835
597,0.091195203,,0.936,0.3835,0.254,0.0066,,0.18793753
598,0.087827198,,0.9598,0.3483,0.2445,0.0059,,0.19764055
599,0.084718302,,0.9739,0.3153,0.2362,0.0046,,0.20152976
600,0.081868403,,0.9844,0.2845,0.2286,0.0038,,0.21124275
601,0.079277702,,0.9922,0.2564,0.2217,0.0032,,0.21901114
602,0.075391501,,0.9986,0.2307,0.2156,0.0031,,0.22872415
603,0.073578,,0.994,0.2064,0.2102,0.0028,,0.23260336
604,0.070991002,,1,0.185,0.2053,0.0025,,0.24037176
605,0.068641998,,0.9917,0.165,0.2006,0.002,,0.25008476
606,0.065771103,,0.9862,0.1469,0.1961,0.0016,,0.25979775
607,0.063422099,,0.9742,0.1305,0.1916,0.0014,,0.27339995
608,0.0613342,,0.9595,0.1163,0.1871,0.0009,,0.28116834
609,0.058463201,,0.9411,0.1029,0.1827,0.0004,,0.29477054
610,0.056636199,,0.9213,0.0916,0.1784,0.0002,,0.29864976
611,0.0552123,,0.9123,0.0812,0.1738,0.0001,,0.30641815
612,0.053371798,,0.8882,0.0722,0.169,0.0001,,0.32196495
613,0.051268499,,0.866,0.0641,0.164,0.0001,,0.32584414
614,0.049690999,,0.8409,0.0569,0.1589,0.0001,,0.33944634
615,0.047935098,,0.8256,0.0508,0.1535,0.0001,,0.34332556
616,0.0460812,,0.7976,0.0452,0.1482,0.0001,,0.35498315
617,0.045081399,,0.7793,0.0404,0.1426,0.0001,,0.36080697
618,0.043214101,,0.7554,0.0359,0.1369,0.0001,,0.36469615
619,0.040813301,,0.7281,0.0322,0.131,0.0001,,0.37440914
620,0.039494898,,0.704,0.0292,0.1251,0,,0.37439916
