Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX,JOE EM,JOE EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,HEX EM,HEX EX,TexasRed EM,TexasRed EX
323,,0.122897997,,0.1272,,,,,,0.0448,,,,0.062843502,,0.059999999,,0.098831303,,,,0.045287699,,
324,,0.121496998,,0.1194,,,,,,0.0454,,,,0.062022001,,0.059999999,,0.094108403,,,,0.044855099,,
325,,0.119534999,,0.1108,,,,,,0.0466,,,,0.061571799,,0.050000001,,0.089025803,,,,0.044785298,,
326,,0.116311997,,0.1041,,,,,,0.0478,,,,0.061466899,,0.039999999,,0.083650999,,,,0.044896901,,
327,,0.113649003,,0.0967,,,,,,0.0485,,,,0.061649501,,0.039999999,,0.078219101,,,,0.0447434,,
328,,0.110146001,,0.0905,,,,,,0.0501,,,,0.0621894,,0.039999999,,0.072820298,,,,0.0443247,,
329,,0.104539998,,0.0848,,,,,,0.0519,,,,0.063032098,,0.029999999,,0.067539103,,,,0.044645701,,
330,,0.100195996,,0.0802,,,,,,0.0529,,,,0.064048097,,0.029999999,,0.0624725,,,,0.0447434,,
331,,0.096132301,,0.0767,,,,,,0.0543,,,,0.065283298,,0.029999999,,0.057724498,,,,0.0450923,,
332,,0.089546002,,0.0736,,,,,,0.0556,,,,0.0667224,,0.029999999,,0.053347401,,,,0.045580801,,
333,,0.084781401,,0.0692,,,,,,0.0566,,,,0.068253398,,0.029999999,,0.049317501,,,,0.046069302,,
334,,0.0801569,,0.067,,,,,,0.0584,,,,0.069786802,,0.029999999,,0.045618601,,,,0.0471997,,
335,,0.0732904,,0.065,,,,,,0.0589,,,,0.071359098,,0.029999999,,0.042327199,,,,0.047911499,,
336,,0.068806097,,0.0623,,,,,,0.0598,,,,0.072977401,,0.029999999,,0.039324701,,,,0.049265198,,
337,,0.063901298,,0.0601,,,,,,0.0612,,,,0.074542597,,0.029999999,,0.036647599,,,,0.050716698,,
338,,0.057314999,,0.0589,,,,,,0.0622,,,,0.076154999,,0.029999999,,0.0342342,,,,0.052265801,,
339,,0.053251099,,0.0571,,,,,,0.0626,,,,0.077860497,,0.029999999,,0.032111902,,,,0.053354401,,
340,,0.049327299,,0.0559,,,,,,0.0633,,,,0.079600103,,0.029999999,,0.030235101,,,,0.054289401,,
341,,0.043722,,0.0553,,,,,,0.0647,,,,0.081395201,,0.029999999,,0.028587701,,,,0.054931398,,
342,,0.0403587,,0.0558,,,,,,0.0665,,,,0.083388202,,0.029999999,,0.0271526,,,,0.0548058,,
343,,0.037275799,,0.0555,,,,,,0.0693,,,,0.085602902,,0.029999999,,0.025998401,,,,0.0538847,,
344,,0.033351999,,0.056,,,,,,0.0714,,,,0.088067397,,0.029999999,,0.0251354,,,,0.052265801,,
345,,0.030829599,,0.0566,,,,,,0.0737,,,,0.090788901,,0.039999999,,0.0243853,,,,0.0499072,,
