"Wavelength","FAM EM","FAM EX","ROX (carboxy-X-rhodamine) EM","ROX (carboxy-X-rhodamine) AB","Cy3 EM","Cy3 EX","Cy5.5 EM","Cy5.5 AB","JOE EM","JOE AB","Cy3.5 EM","Cy3.5 EX","CAL Fluor Orange 560 EM","CAL Fluor Orange 560 EX","CAL Fluor Red 590 EM","CAL Fluor Red 590 EX","CAL Fluor Red 610 EM","CAL Fluor Red 610 EX","Cy5 EM","Cy5 EX","HEX EM","HEX EX","Texas Red EM","Texas Red EX"
323,,0.12289799749851227,,0.1272,,,,,,0.0448,,,,0.06284350156784058,,0.059999999,,0.09883130341768265,,,,0.04528769850730896
324,,0.12149699777364731,,0.1194,,,,,,0.0454,,,,0.062022000551223755,,0.059999999,,0.09410840272903442,,,,0.04485509917140007
325,,0.11953499913215637,,0.1108,,,,,,0.0466,,,,0.06157179921865463,,0.050000001,,0.08902580291032791,,,,0.04478529840707779
326,,0.11631199717521667,,0.1041,,,,,,0.0478,,,,0.061466898769140244,,0.039999999,,0.08365099877119064,,,,0.04489690065383911
327,,0.11364900320768356,,0.0967,,,,,,0.0485,,,,0.06164950132369995,,0.039999999,,0.07821910083293915,,,,0.04474340006709099
328,,0.11014600098133087,,0.0905,,,,,,0.0501,,,,0.06218940019607544,,0.039999999,,0.07282029837369919,,,,0.04432469978928566
329,,0.10453999787569046,,0.0848,,,,,,0.0519,,,,0.06303209811449051,,0.029999999,,0.06753910332918167,,,,0.044645700603723526
330,,0.1001959964632988,,0.0802,,,,,,0.0529,,,,0.06404809653759003,,0.029999999,,0.062472499907016754,,,,0.04474340006709099
331,,0.0961323007941246,,0.0767,,,,,,0.0543,,,,0.06528329849243164,,0.029999999,,0.057724498212337494,,,,0.045092299580574036
332,,0.08954600244760513,,0.0736,,,,,,0.0556,,,,0.06672240048646927,,0.029999999,,0.053347401320934296,,,,0.045580800622701645
333,,0.08478140085935593,,0.0692,,,,,,0.0566,,,,0.06825339794158936,,0.029999999,,0.04931750148534775,,,,0.046069301664829254
334,,0.08015689998865128,,0.067,,,,,,0.0584,,,,0.06978680193424225,,0.029999999,,0.04561860114336014,,,,0.04719970002770424
335,,0.0732904002070427,,0.065,,,,,,0.0589,,,,0.07135909795761108,,0.029999999,,0.04232719913125038,,,,0.047911498695611954
336,,0.06880609691143036,,0.0623,,,,,,0.0598,,,,0.07297740131616592,,0.029999999,,0.03932470083236694,,,,0.04926519840955734
337,,0.06390129774808884,,0.0601,,,,,,0.0612,,,,0.07454259693622589,,0.029999999,,0.036647599190473557,,,,0.05071669816970825
338,,0.057314999401569366,,0.0589,,,,,,0.0622,,,,0.07615499943494797,,0.029999999,,0.03423419967293739,,,,0.052265800535678864
