x, y
380, -0.001615607547874881
529.9051103185743, 0.003230968588647695
543.1878416126251, 0.008077544725170272
555.7115712714957, 0.03231017890068085
564.4402058922952, 0.0920839605655193
576.5844347335756, 0.2891759409314752
585.3130693543752, 0.5072697717646205
598.5958006484261, 0.848142103702703
601.2523642796701, 0.9046849784056697
606.944963405692, 0.9725363510157602
614.535095573721, 1
620.9866963349232, 0.9660742905849139
628.9563293205424, 0.8885298889553294
637.3054920778083, 0.7705977174798124
656.6603233154711, 0.49273016660860397
670.3225554271121, 0.32956366455732594
692.7134800676656, 0.1599352253287528
710.9297509444451, 0.0920839605655193
738.6337449393739, 0.030694571352805743
769.3738033831368, 0.011308513313817966
780.7590016351803, 0.008077544725170272
