x, y
379.6168494597289, 0
480.000010961774, 0
494.94251663988155, 0.00814332214671323
504.9042260671497, 0.05537461544909769
516.3984791927078, 0.22801308223659103
532.1072859513575, 0.6302931465813364
545.1341120066028, 0.8436482241023965
557.3946369813058, 0.9527687066976157
574.2528807450703, 0.9951140036055411
591.1111245088349, 0.9446253845509024
612.9501937548363, 0.7573289907086498
649.7317979103425, 0.38436484260204035
689.9616838497955, 0.14332251948504876
719.8467536688053, 0.06677521675160249
758.1609307539987, 0.02280132686224431
779.616893306825, 0.01140072555973963
