x, y
379.21721815480856, 0
484.500980679529, 0
495.45986679092175, 0.01164720390859848
513.072391121281, 0.08153080819519468
546.3404926341817, 0.24625610230573847
560.8219194444189, 0.4026622461455014
572.1722188738902, 0.5890182703530882
581.9569546129786, 0.7820299575288041
592.5244572669367, 0.9334442589337187
597.6125317955202, 0.9816971807276477
603.874756696408, 0.996672216120311
610.9197485121654, 0.9816971807276477
621.0958975693325, 0.895174704646982
635.1859110614911, 0.7121464167147088
648.1017443207015, 0.5407653961635348
667.2798323414437, 0.33277870533140597
694.6770924108913, 0.14808648578897513
730.6849079864792, 0.04825293766205419
760.4305285218231, 0.01830280340422691
780, 0.006655599495628429
