x, y
380, 0
580.577491574714, 0
607.9114612783803, 0.009788027150250435
621.0009765845506, 0.039151735221195645
632.5505437302181, 0.14192502461934203
640.6352348577718, 0.30505715099104413
645.6400296643202, 0.499184344035389
651.7998223063307, 0.8531810707079761
656.034657718662, 0.9918433936814148
659.4995337367759, 0.85481239819469
663.3493894519984, 0.5008157026370867
667.1992451672209, 0.24632954815925073
673.743988134272, 0.07667217407066117
679.5188010791738, 0.02936383253088042
690.6833591556647, 0.006525309946855104
730.336884771284, 0
780, 0
