x, y
380, 0
441.3636379235375, 0
456.8939348373861, 0.014469477286836629
468.25757095472227, 0.08199354107997943
479.62120707205844, 0.40192930452460174
487.1969644836159, 0.8713825808480433
491.74243627008303, 0.9887459535922472
496.6666612480627, 0.8713825808480433
505.00001174030854, 0.4678456758767785
513.712115424067, 0.25562702320387637
523.1818121885138, 0.1061092956716833
537.1969807394278, 0.035369846996608445
559.9242529741001, 0.0032155075410029003
592.5000040639529, 0
779.6211890100453, 0
