x, y
379.60591734336515, -0.003361293193892658
417.04434098868535, 0
432.0197224734452, 0.023529437032596377
442.26602187884856, 0.11596641034091976
450.14779527786334, 0.3680672466363466
454.0886819773707, 0.5714286263821927
457.241373297029, 0.7848739177659954
459.21181664678267, 0.9344538210307238
461.9704553763855, 0.9848739722616697
465.51725941925804, 0.9361344836558096
467.4877027690117, 0.7899159857819502
471.42858946851914, 0.5764706302855895
478.12808483104993, 0.3680672466363466
488.37438423645324, 0.14957985518030992
499.8029616783406, 0.06890753627572677
521.8719211822661, 0.031932798242443945
561.6748708339749, 0.025210083629542825
596.7487684729065, 0.008403361209847568
634.1871921182267, 0.0016806465969462095
710.6404301685653, -0.005041939790838868
780, -0.005041939790838868
